e, e_dot, e_int, stamp, 
-0.006017907851378901, 0.0002782747804509768, -0.001256158151673086, 1740701585.9065387, 
-0.005866414086410643, 0.0007944686965799505, -0.001222884882044929, 1740701585.999739, 
-0.006195697644548304, -0.0016522079729704622, -0.0008631837378413683, 1740701586.049766, 
-0.005286075074540708, 0.0009005459331366946, -0.0008558870851725243, 1740701586.1477463, 
-0.005798420121374992, 0.002027145869926606, -0.0014859438216151303, 1740701586.3077395, 
-0.006478896932019751, -0.003529358728828868, -0.0014760656513917174, 1740701586.3998728, 
-0.006977905877721291, -0.005796770306391033, -0.0009114886020895393, 1740701586.4497511, 
-0.0069561893714578105, -0.003285971127895965, -0.0013472468555945287, 1740701586.5978713, 
-0.006559521004579683, 0.0012521970071787466, -0.0017624596324669038, 1740701586.7077525, 
-0.00720911209042141, -0.0011586781077606164, -0.0013923865448502936, 1740701586.7994246, 
-0.007632429302671717, -0.005165616263570144, -0.0010129999634344974, 1740701586.8497548, 
-0.008090775031606157, -0.004362194148414723, -0.0011340505935374333, 1740701586.947781, 
-0.009031113639337285, -0.003750373502962963, -0.001988888623353949, 1740701587.09079, 
-0.008840905088064677, -0.0016104666265495933, -0.0021815251216287263, 1740701587.199856, 
-0.008788470779619306, 0.0009315831593813464, -0.0014127101724015364, 1740701587.2497568, 
-0.007971943413554783, 0.0021889502731839232, -0.001689068280140958, 1740701587.3977835, 
-0.008131346773936343, 0.0012626522585097453, -0.0019935621600367637, 1740701587.4900246, 
-0.009357188125434845, -0.004299255453246214, -0.001714240824768366, 1740701587.599772, 
-0.009138436671473738, -0.0022664879681522174, -0.0014183567436108061, 1740701587.6498275, 
-0.00929476766188575, 0.0011047397442332787, -0.0018351049396416084, 1740701587.7978735, 
-0.007958663682820166, 0.004509739014612424, -0.002108295673435378, 1740701587.8894804, 
-0.007942325265084094, 0.004911097312793121, -0.001695827122921094, 1740701587.9997916, 
-0.00859190664793763, -0.0020933696889468547, -0.0017256283690972832, 1740701588.1008432, 
-0.008622871498210838, -0.0023577324785897503, -0.0012499791523396622, 1740701588.1488523, 
-0.008439187314316143, 0.00017134567320493393, -0.0017657839150128694, 1740701588.3073356, 
-0.008038018564081817, 0.0018328467148302147, -0.0020994416472323077, 1740701588.399781, 
-0.008429236065835788, -0.001108840453777892, -0.0011911735248160097, 1740701588.4508133, 
-0.008740573176667432, -0.003614666815133089, -0.001251991495103184, 1740701588.5487812, 
-0.007765773737471449, 0.0012388682409753724, -0.0019894825622822094, 1740701588.6901681, 
-0.008390613128948843, 0.0004169562986652865, -0.002092187314427974, 1740701588.8008828, 
-0.008662721884150404, -0.0036988334931136054, -0.0013287918187276195, 1740701588.8507853, 
-0.007336679766449805, 0.0011684857583334277, -0.001609146021689715, 1740701588.9988096, 
-0.006715993211035887, 0.004875191786662394, -0.0019500782522823444, 1740701589.1083302, 
-0.0069787897128472665, 0.0009426437858997033, -0.0014166438397327818, 1740701589.2008846, 
-0.007066148266972938, -0.0012349601484996058, -0.0013389960907638613, 1740701589.3018181, 
-0.0062483001207671585, 0.002519584359556654, -0.0013394619384775564, 1740701589.3989005, 
-0.006416208888191388, 0.0021959644615988437, -0.0012398604484146684, 1740701589.490336, 
